"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"227981_at",2.38708289457763e-11,4.93352294626927e-14,-9.10525543626898,21.5737001618667,-1.31246984003279,"AI741458","","CYB561D1","cytochrome b561 family member D1"
"208679_s_at",2.4705887594885e-11,5.15129617890606e-14,-9.09576378870773,21.531788452251,-0.815195963622172,"AF279893","","ARPC2","actin related protein 2/3 complex subunit 2"
"220590_at",2.79829175031307e-11,5.88575310994061e-14,-9.06647756854499,21.4024597616579,-0.874874493537082,"NM_018463","","ITFG2","integrin alpha FG-GAP repeat containing 2"
"1554648_a_at",3.13842342901414e-11,6.65856639717678e-14,-9.0393728506894,21.2827504144631,-1.413174713,"BC020841","","DUOXA1","dual oxidase maturation factor 1"
"201997_s_at",3.2883389638909e-11,7.03677473754431e-14,9.02723589687299,21.2291428149123,0.678073443444964,"NM_015001","","SPEN","spen family transcriptional repressor"
"217649_at",3.52919670113043e-11,7.61673910806384e-14,9.00983749995589,21.1522918045758,1.52038518151132,"AV702306","","ZFAND5","zinc finger AN1-type containing 5"
"203749_s_at",3.63066866817285e-11,7.90214122565283e-14,9.00175671375911,21.1165963004191,1.14562037338486,"","","RARA","retinoic acid receptor alpha"
"219595_at",3.65581183777027e-11,8.02372968509249e-14,8.99840243606437,21.1017790577672,1.43161973533255,"NM_019591","","ZNF26","zinc finger protein 26"
"1554153_a_at",4.00812681482107e-11,8.87029436841974e-14,8.9763691743753,21.0044449157946,1.15588209985636,"BC015714","","PHF21A","PHD finger protein 21A"
"202643_s_at",4.53456012212145e-11,1.0118268585255e-13,8.94745552298745,20.8767060718431,2.07780790778844,"","","TNFAIP3","TNF alpha induced protein 3"
"201544_x_at",4.8491287745285e-11,1.09088768041519e-13,-8.93093099268174,20.8036970879239,-0.78387410038329,"BF675004","","BCL2L2-PABPN1///PABPN1///BCL2L2","BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1///BCL2 like 2"
"227352_at",5.0981049949907e-11,1.15622317216067e-13,-8.91815545378312,20.7472498999262,-1.04718223821078,"AI264689","","SWSAP1","SWIM-type zinc finger 7 associated protein 1"
"230516_at",5.3315512821632e-11,1.21891890310087e-13,8.90655772496568,20.6960052745583,0.969697057151444,"BF062037","","MALSU1","mitochondrial assembly of ribosomal large subunit 1"
"208706_s_at",5.62215692328839e-11,1.29564110166317e-13,-8.8931514025922,20.6367677713614,-0.785432399771269,"AK026933","","EIF5","eukaryotic translation initiation factor 5"
"200694_s_at",5.88567787334894e-11,1.3698431711833e-13,8.88092043901232,20.5827223554396,0.574503795827479,"NM_020414","","DDX24","DEAD-box helicase 24"
"203600_s_at",5.88567787334894e-11,1.37789989536107e-13,8.87963251966418,20.5770313058978,0.723686186879001,"NM_003704","","FAM193A","family with sequence similarity 193 member A"
"212748_at",6.02842402448252e-11,1.4223442142812e-13,8.87266047940381,20.5462230729982,0.897136212960189,"AB037859","","MKL1","megakaryoblastic leukemia (translocation) 1"
"215750_at",6.94895860934342e-11,1.65224438813835e-13,8.83975573588363,20.4008180853465,1.79239556783919,"AB051446","","",""
"225582_at",7.13740266725613e-11,1.71010470856983e-13,8.83219665301062,20.3674138029219,1.38828135711944,"AA425726","","ITPRIP","inositol 1,4,5-trisphosphate receptor interacting protein"
"225297_at",7.21177400303078e-11,1.74111416259728e-13,-8.82825008070449,20.3499734169528,-0.796015697111629,"AV715391","","HAUS1","HAUS augmin like complex subunit 1"
"201693_s_at",7.28180136033278e-11,1.7713389683114e-13,8.8244704480254,20.3332706848744,2.67437425520297,"AV733950","","EGR1","early growth response 1"
"223467_at",7.30226971474912e-11,1.78967378468474e-13,8.82220897117178,20.3232768657046,2.09595696495784,"AF069506","","RASD1","ras related dexamethasone induced 1"
"208319_s_at",7.79142504917703e-11,1.92380865411779e-13,-8.80633691979857,20.2531351674868,-0.823400149099928,"NM_006743","","RBM3","RNA binding motif (RNP1, RRM) protein 3"
"240960_at",8.77186563040354e-11,2.18193639823481e-13,8.77868675126708,20.1309415980176,1.31158465519438,"AA713522","","",""
"1559964_at",8.87085201748774e-11,2.22278322157443e-13,-8.77461356429297,20.1129409230312,-1.91297703838095,"AK096036","","LOC401261","uncharacterized LOC401261"
"210387_at",8.91140250636362e-11,2.24924288226462e-13,8.77201479881332,20.1014561577796,3.12247350329899,"BC001131","","HIST1H2BJ///HIST1H2BG","histone cluster 1, H2bj///histone cluster 1, H2bg"
"213191_at",9.09862874050636e-11,2.31314018277162e-13,8.76586300730041,20.0742694071531,1.15879433344341,"AF070530","","TICAM1","toll like receptor adaptor molecule 1"
"222656_at",9.2155580505474e-11,2.35972222602037e-13,8.76148443082846,20.0549190362816,0.907109941697891,"AI625741","","UBE2W","ubiquitin conjugating enzyme E2 W (putative)"
"201502_s_at",9.44302761931139e-11,2.43523894709265e-13,8.75456647576742,20.0243462794576,1.04672454568306,"","","NFKBIA","NFKB inhibitor alpha"
"1555404_a_at",9.94364686338613e-11,2.58252922652187e-13,-8.74166991586568,19.9673520134799,-1.29361410533958,"BC029819","","DUOXA1","dual oxidase maturation factor 1"
"1569020_at",9.98066830144321e-11,2.61039884244422e-13,8.73931264141639,19.9569344196761,1.79816927669633,"BC020686","","NEDD9","neural precursor cell expressed, developmentally down-regulated 9"
"203241_at",1.07646238576399e-10,2.83512727114796e-13,8.72117607355703,19.8767829164447,0.810239439521468,"NM_003369","","UVRAG","UV radiation resistance associated"
"218761_at",1.13162935780125e-10,3.00112038191461e-13,8.70868013257325,19.821559475408,0.723778010930522,"NM_017610","","RNF111","ring finger protein 111"
"212722_s_at",1.1684515354423e-10,3.12014493231964e-13,8.70013832223236,19.7838107603901,1.26292453752693,"","","JMJD6","arginine demethylase and lysine hydroxylase"
"213088_s_at",1.17169801785468e-10,3.15024432783974e-13,-8.69802984517128,19.7744928240263,-0.942084625900083,"BE551340","","DNAJC9","DnaJ heat shock protein family (Hsp40) member C9"
"212617_at",1.17432030955101e-10,3.17877285438591e-13,8.69604991777626,19.7657429955635,0.794654015055425,"AB002293","","ZNF609","zinc finger protein 609"
"1561195_at",1.19394882459052e-10,3.25374256724257e-13,-8.69093039239247,19.74311850068,-1.82297434932318,"AL832142","","",""
