"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0071356","cellular response to tumor necrosis factor","9/154","226/18860",0.0398230088495575,4.87702562923802,5.32021363152309,0.000102263769565914,0.0123227842326926,0.0105982452095584,"KLF2/HES1/ZFP36/TRAF3/TNFAIP3/ZFP36L1/NFKBIA/BAG4/FOS",9
"BP","GO:0002758","innate immune response-activating signaling pathway","11/154","342/18860",0.0321637426900585,3.9390142021721,4.97676258711587,0.000118779941023683,0.0136906792892949,0.0117747071971303,"ZC3HAV1/TRIM25/RNF34/TRAF3/TNFAIP3/CSNK1A1/TICAM1/NFKBIA/RNF170/SQSTM1/MAVS",11
"BP","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","4/154","32/18860",0.125,15.3084415584416,7.35012041418976,0.000128654945200691,0.0142110108219597,0.0122222197940657,"BTG2/ZFP36/CNOT1/TOB1",4
"BP","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","5/154","61/18860",0.0819672131147541,10.0383223334043,6.41526491046536,0.000139982623787956,0.0148437574264749,0.0127664152894616,"BTG2/ZFP36/CNOT1/ZFP36L1/TOB1",5
"BP","GO:0007249","canonical NF-kappaB signal transduction","11/154","359/18860",0.0306406685236769,3.7524870672503,4.77753783940598,0.000181356140245162,0.0172791152990584,0.0148609516717666,"ZC3HAV1/TRIM25/TRIM13/TRAF3/TNFAIP3/TERF2IP/TICAM1/NFKBIA/SQSTM1/DDX1/MAVS",11
"BP","GO:0034612","response to tumor necrosis factor","9/154","244/18860",0.0368852459016393,4.51724505003193,5.01745609388959,0.000182215865614714,0.0172791152990584,0.0148609516717666,"KLF2/HES1/ZFP36/TRAF3/TNFAIP3/ZFP36L1/NFKBIA/BAG4/FOS",9
"BP","GO:0000209","protein polyubiquitination","10/154","300/18860",0.0333333333333333,4.08225108225108,4.88279938086309,0.000182502915267309,0.0172791152990584,0.0148609516717666,"TRIM25/RNF34/FBXO9/TNFAIP3/KBTBD2/UBE2W/RNF111/RNF170/SQSTM1/SETD2",10
"BP","GO:0070417","cellular response to cold","3/154","15/18860",0.2,24.4935064935065,8.25894598944898,0.000226037515306006,0.0200356151101479,0.017231687080776,"RNF34/EIF2AK3/NFKBIA",3
"BP","GO:0045089","positive regulation of innate immune response","12/154","432/18860",0.0277777777777778,3.4018759018759,4.58228990705893,0.000228939985122909,0.0200356151101479,0.017231687080776,"ZC3HAV1/TRIM25/RNF34/PSPC1/TRAF3/TNFAIP3/CSNK1A1/TICAM1/NFKBIA/RNF170/SQSTM1/MAVS",12
"BP","GO:0038066","p38MAPK cascade","5/154","68/18860",0.0735294117647059,9.00496562261268,6.0000746171028,0.000234290482238621,0.0200356151101479,0.017231687080776,"GADD45B/DUSP1/ZFP36/ZFP36L1/PHLPP1",5
"BP","GO:0031960","response to corticosteroid","7/154","154/18860",0.0454545454545455,5.56670602125148,5.16300060767963,0.000275159328222641,0.0209456662038213,0.0180143790813703,"DUSP1/ZFP36/STC1/USP8/ZFP36L1/SH3RF1/FOS",7
"BP","GO:0010506","regulation of autophagy","11/154","377/18860",0.0291777188328912,3.57332322849564,4.57939398396109,0.000276154516815513,0.0209456662038213,0.0180143790813703,"MCL1/TRIM13/DDIT3/QSOX1/PPTC7/TLK2/CSNK1A1/TICAM1/UVRAG/SQSTM1/SETD2",11
"BP","GO:0002371","dendritic cell cytokine production","3/154","16/18860",0.1875,22.9626623376623,7.97420972921543,0.000276536520985947,0.0209456662038213,0.0180143790813703,"TICAM1/DDX1/MAVS",3
